date,u_rate,u_rate_ma3
1999-05-01,0.104508,
1999-06-01,0.102051,
1999-07-01,0.102756,0.103105
1999-08-01,0.103881,0.102896
1999-09-01,0.106675,0.104437
1999-10-01,0.106461,0.105672
1999-11-01,0.107591,0.106909
1999-12-01,0.115044,0.109699
2000-01-01,0.125142,0.115926
2000-02-01,0.123372,0.121186
2000-03-01,0.119714,0.122743
2000-04-01,0.118199,0.120428
2000-05-01,0.114106,0.117339
2000-06-01,0.109463,0.113923
2000-07-01,0.104369,0.109313
2000-08-01,0.101631,0.105155
2000-09-01,0.097095,0.101032
2000-10-01,0.093831,0.097519
2000-11-01,0.099422,0.096782
2000-12-01,0.099509,0.097587
2001-01-01,0.109875,0.102935
2001-02-01,0.107615,0.105666
2001-03-01,0.106500,0.107997
2001-04-01,0.106304,0.106807
2001-05-01,0.105625,0.106143
2001-06-01,0.104348,0.105426
2001-07-01,0.103921,0.104631
2001-08-01,0.104183,0.104151
2001-09-01,0.103799,0.103968
2001-10-01,0.102116,0.103366
2001-11-01,0.105063,0.103659
2001-12-01,0.104991,0.104057
2002-01-01,0.116962,0.109005
2002-02-01,0.115336,0.112430
2002-03-01,0.110104,0.114134
2002-04-01,0.108670,0.111370
2002-05-01,0.106942,0.108572
2002-06-01,0.106606,0.107406
2002-07-01,0.103219,0.105589
2002-08-01,0.102000,0.103942
2002-09-01,0.101186,0.102135
2002-10-01,0.095570,0.099585
2002-11-01,0.095865,0.097540
2002-12-01,0.100700,0.097378
2003-01-01,0.113158,0.103241
2003-02-01,0.114213,0.109357
2003-03-01,0.113219,0.113530
2003-04-01,0.115945,0.114459
2003-05-01,0.114191,0.114452
2003-06-01,0.112827,0.114321
2003-07-01,0.111678,0.112899
2003-08-01,0.110830,0.111778
2003-09-01,0.107798,0.110102
2003-10-01,0.102907,0.107178
2003-11-01,0.103184,0.104630
2003-12-01,0.109135,0.105075
2004-01-01,0.124488,0.112269
2004-02-01,0.124212,0.119278
2004-03-01,0.120145,0.122948
2004-04-01,0.119162,0.121173
2004-05-01,0.118637,0.119315
2004-06-01,0.113212,0.117004
2004-07-01,0.110009,0.113953
2004-08-01,0.104118,0.109113
2004-09-01,0.098323,0.104150
2004-10-01,0.096687,0.099709
2004-11-01,0.093895,0.096302
2004-12-01,0.096719,0.095767
2005-01-01,0.109711,0.100108
2005-02-01,0.106341,0.104257
2005-03-01,0.103522,0.106525
2005-04-01,0.103150,0.104338
2005-05-01,0.099006,0.101893
2005-06-01,0.098515,0.100224
2005-07-01,0.098568,0.098696
2005-08-01,0.101201,0.099428
2005-09-01,0.102849,0.100872
2005-10-01,0.097311,0.100454
2005-11-01,0.093915,0.098025
2005-12-01,0.100003,0.097077
2006-01-01,0.112067,0.101995
2006-02-01,0.110440,0.107503
2006-03-01,0.106878,0.109795
2006-04-01,0.107866,0.108394
2006-05-01,0.105868,0.106871
2006-06-01,0.103295,0.105676
2006-07-01,0.099715,0.102959
2006-08-01,0.095516,0.099509
2006-09-01,0.092902,0.096045
2006-10-01,0.093606,0.094008
2006-11-01,0.093598,0.093369
2006-12-01,0.100176,0.095793
2007-01-01,0.112773,0.102182
2007-02-01,0.111752,0.108234
2007-03-01,0.109218,0.111248
2007-04-01,0.107905,0.109625
2007-05-01,0.102340,0.106488
2007-06-01,0.099901,0.103382
2007-07-01,0.096933,0.099725
2007-08-01,0.092231,0.096355
2007-09-01,0.089607,0.092924
2007-10-01,0.087097,0.089645
2007-11-01,0.084860,0.087188
2007-12-01,0.088295,0.086751
2008-01-01,0.100084,0.091079
2008-02-01,0.097502,0.095293
2008-03-01,0.094357,0.097314
2008-04-01,0.092286,0.094715
2008-05-01,0.090543,0.092395
2008-06-01,0.089774,0.090868
2008-07-01,0.084536,0.088284
2008-08-01,0.083233,0.085847
2008-09-01,0.078483,0.082084
2008-10-01,0.075176,0.078964
2008-11-01,0.073397,0.075685
2008-12-01,0.077635,0.075403
2009-01-01,0.089974,0.080335
2009-02-01,0.091693,0.086434
2009-03-01,0.090327,0.090665
2009-04-01,0.090535,0.090852
2009-05-01,0.089094,0.089985
2009-06-01,0.090782,0.090137
2009-07-01,0.092535,0.090804
2009-08-01,0.092683,0.092000
2009-09-01,0.091606,0.092275
2009-10-01,0.090461,0.091583
2009-11-01,0.088896,0.090321
2009-12-01,0.088118,0.089158
2010-01-01,0.098940,0.091985
2010-02-01,0.095593,0.094217
2010-03-01,0.091673,0.095402
2010-04-01,0.090526,0.092597
2010-05-01,0.086721,0.089640
2010-06-01,0.085321,0.087523
2010-07-01,0.084165,0.085402
2010-08-01,0.082895,0.084127
2010-09-01,0.081404,0.082822
2010-10-01,0.079866,0.081388
2010-11-01,0.079281,0.080184
2010-12-01,0.081145,0.080097
2011-01-01,0.089183,0.083203
2011-02-01,0.088029,0.086119
2011-03-01,0.083545,0.086919
2011-04-01,0.084578,0.085384
2011-05-01,0.082005,0.083376
2011-06-01,0.079115,0.081899
2011-07-01,0.077647,0.079589
2011-08-01,0.076493,0.077752
2011-09-01,0.074114,0.076085
2011-10-01,0.073052,0.074553
2011-11-01,0.073812,0.073659
2011-12-01,0.076980,0.074615
2012-01-01,0.083544,0.078112
2012-02-01,0.078372,0.079632
2012-03-01,0.077669,0.079862
2012-04-01,0.078044,0.078029
