date,u_rate
1999-05-01,0.108341
1999-06-01,0.104665
1999-07-01,0.103909
1999-08-01,0.103605
1999-09-01,0.106675
1999-10-01,0.103040
1999-11-01,0.098587
1999-12-01,0.102328
2000-01-01,0.103661
2000-02-01,0.104739
2000-03-01,0.106239
2000-04-01,0.109416
2000-05-01,0.106426
2000-06-01,0.103077
2000-07-01,0.098470
2000-08-01,0.096759
2000-09-01,0.092629
2000-10-01,0.090994
2000-11-01,0.095052
2000-12-01,0.092022
2001-01-01,0.098150
2001-02-01,0.098991
2001-03-01,0.101388
2001-04-01,0.103735
2001-05-01,0.103542
2001-06-01,0.103191
2001-07-01,0.103379
2001-08-01,0.104515
2001-09-01,0.103799
2001-10-01,0.103427
2001-11-01,0.104849
2001-12-01,0.099563
2002-01-01,0.104575
2002-02-01,0.108065
2002-03-01,0.106910
2002-04-01,0.108408
2002-05-01,0.106938
2002-06-01,0.105787
2002-07-01,0.102210
2002-08-01,0.102274
2002-09-01,0.101186
2002-10-01,0.099170
2002-11-01,0.097973
2002-12-01,0.100458
2003-01-01,0.107078
2003-02-01,0.112650
2003-03-01,0.116858
2003-04-01,0.121686
2003-05-01,0.118734
2003-06-01,0.115578
2003-07-01,0.114114
2003-08-01,0.111799
2003-09-01,0.107798
2003-10-01,0.103197
2003-11-01,0.100722
2003-12-01,0.105259
2004-01-01,0.112725
2004-02-01,0.116452
2004-03-01,0.114537
2004-04-01,0.113803
2004-05-01,0.113283
2004-06-01,0.109363
2004-07-01,0.108363
2004-08-01,0.102667
2004-09-01,0.098323
2004-10-01,0.097222
2004-11-01,0.091281
2004-12-01,0.092898
2005-01-01,0.098660
2005-02-01,0.099335
2005-03-01,0.101128
2005-04-01,0.103232
2005-05-01,0.100960
2005-06-01,0.101738
2005-07-01,0.100642
2005-08-01,0.102590
2005-09-01,0.102849
2005-10-01,0.098716
2005-11-01,0.092652
2005-12-01,0.096976
2006-01-01,0.101616
2006-02-01,0.103557
2006-03-01,0.104203
2006-04-01,0.108617
2006-05-01,0.107067
2006-06-01,0.104112
2006-07-01,0.098842
2006-08-01,0.095158
2006-09-01,0.092902
2006-10-01,0.091950
2006-11-01,0.088644
2006-12-01,0.093034
2007-01-01,0.098192
2007-02-01,0.100417
2007-03-01,0.101577
2007-04-01,0.103173
2007-05-01,0.098213
2007-06-01,0.096695
2007-07-01,0.094447
2007-08-01,0.090826
2007-09-01,0.089607
2007-10-01,0.087952
2007-11-01,0.084046
2007-12-01,0.084551
2008-01-01,0.088523
2008-02-01,0.088407
2008-03-01,0.089924
2008-04-01,0.091590
2008-05-01,0.091348
2008-06-01,0.089769
2008-07-01,0.084403
2008-08-01,0.083509
2008-09-01,0.078483
2008-10-01,0.077530
2008-11-01,0.074208
2008-12-01,0.077656
2009-01-01,0.082602
2009-02-01,0.087639
2009-03-01,0.088406
2009-04-01,0.091503
2009-05-01,0.089882
2009-06-01,0.091171
2009-07-01,0.092045
2009-08-01,0.091500
2009-09-01,0.091606
2009-10-01,0.089338
2009-11-01,0.084202
2009-12-01,0.081729
2010-01-01,0.085837
2010-02-01,0.087005
2010-03-01,0.086863
2010-04-01,0.088726
2010-05-01,0.084423
2010-06-01,0.082656
2010-07-01,0.080266
2010-08-01,0.078481
2010-09-01,0.077594
2010-10-01,0.076377
2010-11-01,0.073727
2010-12-01,0.074189
2011-01-01,0.076430
2011-02-01,0.077672
2011-03-01,0.077049
2011-04-01,0.081011
2011-05-01,0.079032
2011-06-01,0.078137
2011-07-01,0.077453
2011-08-01,0.076156
2011-09-01,0.074114
2011-10-01,0.071572
2011-11-01,0.070735
2011-12-01,0.073218
2012-01-01,0.075873
2012-02-01,0.078808
2012-03-01,0.079862
2012-04-01,0.078029
2012-05-01,0.076746
2012-06-01,0.075737
2012-07-01,0.074929
2012-08-01,0.073476
2012-09-01,0.071210
2012-10-01,0.069437
2012-11-01,0.068091
2012-12-01,0.068983
2013-01-01,0.072480
2013-02-01,0.077613
2013-03-01,0.080398
2013-04-01,0.079070
2013-05-01,0.076473
2013-06-01,0.075064
2013-07-01,0.073610
2013-08-01,0.071815
2013-09-01,0.070123
2013-10-01,0.067756
2013-11-01,0.065484
2013-12-01,0.062383
2014-01-01,0.064596
2014-02-01,0.068058
2014-03-01,0.072234
2014-04-01,0.071991
2014-05-01,0.070337
2014-06-01,0.069135
2014-07-01,0.069647
2014-08-01,0.069596
2014-09-01,0.068446
2014-10-01,0.066861
2014-11-01,0.065735
2014-12-01,0.065649
2015-01-01,0.068797
2015-02-01,0.075033
2015-03-01,0.080230
2015-04-01,0.081024
2015-05-01,0.082302
2015-06-01,0.084114
2015-07-01,0.086487
2015-08-01,0.088260
2015-09-01,0.090016
2015-10-01,0.090786
2015-11-01,0.091215
2015-12-01,0.090580
2016-01-01,0.095999
2016-02-01,0.103261
2016-03-01,0.110358
2016-04-01,0.113113
2016-05-01,0.112972
2016-06-01,0.114221
2016-07-01,0.116858
