date,ipca_ssubj,ipca_full,u_rate,focus,ippcv
2001-12-01,0.07731751268812981,0.0767343641407332,0.10855462335356392,3.46,0
2002-01-01,0.049113553578097546,0.07619885769637413,0.10803769549391662,3.6,0
2002-02-01,0.0744602679887647,0.0751267006102796,0.10772252026190028,3.49,0
2002-03-01,0.06595778566320143,0.07748401002741145,0.10552415308824427,3.55,0
2002-04-01,0.04028987763112424,0.07984416673460593,0.10428536485324863,3.48,0
2002-05-01,0.04590006579365946,0.07769129945599862,0.10448737021101026,3.48,0
2002-06-01,0.012787367020508311,0.076614182768588,0.10587599744158507,3.47,0
2002-07-01,0.05255520921569912,0.07513038923178539,0.1045900219293518,3.57,0
2002-08-01,0.0778217199745912,0.0745969907891686,0.10465736039714048,3.62,0
2002-09-01,0.06204828656574635,0.07931120032477779,0.1055254715521694,3.75,0
2002-10-01,0.04571930028207216,0.0844517514427594,0.10345975332011222,4.65,0
2002-11-01,0.1683820725348546,0.10932624074094632,0.1043458048627637,5.29,0
2002-12-01,0.1803965679390236,0.12530273356687704,0.10451221543131053,5.54,0
2003-01-01,0.11111017014702829,0.14466982788900595,0.104485830764197,5.07,0
2003-02-01,0.06507994083052804,0.15847296351386797,0.10653699632174121,5.05,0
2003-03-01,0.06858102358440621,0.16573077989356433,0.10846088540065592,5.17,0
2003-04-01,0.055201411348807294,0.1676939919000393,0.1110544089085813,5.11,0
2003-05-01,0.14488128734796502,0.17235849361216649,0.11153490818989902,4.6,0
2003-06-01,0.10989250785657068,0.165705619446737,0.11191378183873622,4.66,0
2003-07-01,0.05490530505635993,0.15429794039920974,0.11295074994468211,4.56,0
2003-08-01,0.06162239811983827,0.15074454091028655,0.11358661604750508,4.59,0
2003-09-01,0.04626971242629763,0.15143298958300688,0.1125716577231362,4.5,0
2003-10-01,0.06604162831908167,0.13983684498210658,0.11155699703208176,4.45,0
2003-11-01,0.07341861817684547,0.11018455023700713,0.11282357124031281,4.43,0
2003-12-01,0.08014245242076856,0.09300512800400029,0.11353620082030225,4.36,0
2004-01-01,0.0875938511553922,0.07707318476468106,0.1148543804229623,4.27,0
2004-02-01,0.08008360565086137,0.06688915848057309,0.11574957730942495,4.24,0
2004-03-01,0.08558451703140224,0.058876469463602144,0.1148911403885341,4.2,0
