codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,combined3_x11,combined3_seats,metodo,razao,status
20636,184,Present,0,0,0,TRUE,0,-1.3567949935428458,0.42200874719935727,0.4333620248996014,0.08905763760293373,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20637,184,Present,2.3332242105045253e-7,1.511018454802837e-8,8.555783918007265e-7,TRUE,3.9015516973939235e-5,-7.289632356250544,0.7146562879991153,0.6133874739394778,0.4036589930260034,0.16576067324927535,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20638,184,Present,0,3.7335146085837323e-10,2.9311775229245995e-11,TRUE,7.123168721534512e-11,-5.716921240963039,1.1326789357732723,0.8370570262398012,0.9738281572716276,0.3793173031312663,1,1,None,None,seats,"Q = 1.13 > 1, decomposição X-11 fraca",ajustada
20639,184,Present,9.647218023313142e-4,8.706151355397651e-10,2.408678811960385e-10,TRUE,2.0175944689393432e-6,-6.356016888975259,1.3795601889161098,0.6435158352544725,1,0.9986608630615342,1,1,None,None,seats,"Q = 1.38 > 1, decomposição X-11 fraca",ajustada
20640,184,Present,2.8517442740572108e-8,1.2953971229023864e-11,1.2740919430598296e-11,TRUE,1.0880185641326534e-14,-6.604672432473452,0.6761780595287972,0.4735635018263886,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20641,184,Present,0,1.2222164941344538e-5,5.284660598015023e-9,TRUE,6.10178574333986e-13,-7.43306207199202,0.7540631413314159,0.7292404621848776,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20642,184,Present,5.750955267558311e-14,1.1501910535116622e-13,5.440092820663267e-15,TRUE,0,-4.9678714244668924,0.7502388750832674,0.368266540376964,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20643,184,Present,4.1744385725905886e-14,1.0082690238277792e-10,2.429723089392155e-12,TRUE,1.3034018309099338e-13,-5.983572553177288,0.8028582711302882,0.5785674898875486,0.9441345296605158,0.7972773722673726,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20644,184,Present,2.3758329747991525e-9,9.650502619251711e-11,2.7797431023657282e-11,TRUE,8.875788992668276e-11,-5.975478399847341,0.575412754413895,0.5237226008857865,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20645,184,Present,0,2.0347945550724944e-11,3.2523206350276723e-11,TRUE,7.882583474838611e-15,-4.732407745255781,0.5104888119096705,0.35569601433091574,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20646,184,None,5.097109991858417e-7,1.778172564748104e-8,3.9216931368990515e-8,TRUE,8.111934501897622e-8,-6.947658983893202,1.0062910261591709,1.1432425271021331,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20648,184,Present,2.801376796391919e-4,1.5889347060316084e-8,2.8022160036833554e-8,TRUE,2.0515735965620507e-7,-7.434413816027591,1.4318963548377344,0.8460739894370405,1,1,1,1,None,None,seats,"Q = 1.43 > 1, decomposição X-11 fraca",ajustada
20649,184,ProbablyNone,0.2687012931550419,0.0016307755423639048,0.004617054856205338,FALSE,0.0038579190600297464,-7.459037663643131,1.8409235140456457,1.2315708915041788,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20650,184,ProbablyNone,0.13811533828632394,3.9792373777081114e-4,9.263530894662031e-4,TRUE,9.050738903026989e-4,-7.25166105630466,1.7084603675288086,1.1841368443636882,1,0.06327036899633354,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20651,184,Present,0,4.739353354210607e-11,4.263256414560601e-14,TRUE,0,-4.615997924946868,1.355505837131533,0.6335593465293325,1,1,1,1,None,None,seats,"Q = 1.36 > 1, decomposição X-11 fraca",ajustada
20652,184,Present,0,4.1522341120980855e-14,2.220446049250313e-15,TRUE,0,-4.991022107918414,0.6540492981110398,0.4826156767592036,1,0.9747207502794535,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20655,184,Present,0.1503123961402475,3.6604319392230522e-06,2.6807592404809455e-6,TRUE,7.552527670784404e-5,-6.003581324932398,0.9041590362797904,0.8660604984962915,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20656,184,Present,2.539080057317733e-13,7.414846514564033e-12,2.4791835251392058e-11,TRUE,1.4954237848030516e-10,-3.2986887877069004,0.6403909847070011,0.5809714775127567,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20657,184,Present,4.220458427184326e-9,7.372822238727039e-6,9.415351117647575e-7,TRUE,1.4455103780619538e-13,-7.212345472104806,1.2359307150783823,0.4972701913174029,1,1,1,1,None,None,seats,"Q = 1.24 > 1, decomposição X-11 fraca",ajustada
20658,184,None,1,0.024037714433337243,0.010216461924379305,FALSE,0.05424782162398489,-10.185128739227082,1.2503826773277078,1.2710902377483766,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20659,184,ProbablyNone,4.35061360049005e-7,1.5714150702894614e-7,1.1171612335214576e-7,TRUE,9.198798894671789e-5,-7.02298138461099,1.6162616491354012,1.0154051564549045,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20660,184,ProbablyNone,1.6106924165093517e-5,9.024786348121872e-6,2.04334864192246e-5,TRUE,0.00870983729563668,-7.341412419638567,1.619464100713119,0.9743809828800375,0.9512076508220182,2.816233634517218e-6,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20661,184,Present,6.847855615887966e-13,3.8531106860695274e-8,8.703767706563781e-10,TRUE,3.3668623444782497e-10,-3.934517552365613,1.0266059500046985,0.7419780349774456,1,1,1,1,None,None,seats,"Q = 1.03 > 1, decomposição X-11 fraca",ajustada
20635,184,Present,0,0,0,TRUE,0,-2.0109538840975474,0.5323861546997537,0.31786487375514355,0.9579389567855183,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20665,184,Present,2.2539907095664447e-5,1.194795135384119e-6,1.0004262507301576e-6,TRUE,1.1883904564857772e-6,-6.582900394148888,0.5801428494743865,0.5663298586295363,1,0.32562800072799913,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20666,184,Present,8.284025178728616e-5,4.319155244569828e-6,1.9192274399726372e-6,TRUE,2.0136802459203018e-4,-5.959846472519196,0.7657766128561079,0.7747899058021288,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20669,184,Present,0.051167446459374544,2.070790850948745e-4,4.13381647071942e-5,TRUE,9.220986983971002e-6,-9.552825082818186,0.7331590462978523,0.8182732310659518,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20668,184,Present,0.514552548483795,9.478584583888505e-11,8.600897771771088e-12,TRUE,0.12339637042743379,-8.378786321063117,0.938846600953819,0.5017597267349413,0.9980894291556179,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20670,184,ProbablyNone,1.9909023488917654e-5,0.0067988865847814495,0.008584391451975315,TRUE,0.16042497684648027,-7.54557278554497,1.328125950247313,0.854966289677835,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20671,184,Present,0.0012219398455910468,8.242734201425739e-4,8.239122157649437e-5,TRUE,8.358694470982364e-4,-8.103093190341736,0.8967761780421485,0.8214911468685946,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20672,184,ProbablyNone,6.563575301254954e-5,0.002078587037872448,1.9180377886418576e-4,TRUE,6.973374643743924e-4,-6.782155830829747,1.031670145415568,1.090789270587132,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20673,184,Present,1.2603782518438855e-5,9.431472269838537e-10,1.5523260454841648e-10,TRUE,3.5551561694546763e-12,-6.471040403428312,0.7070310875909698,0.6449710570987923,0.44359402950431104,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20674,184,Present,1.6288420612298182e-9,2.849469438181984e-9,1.5908274697551406e-10,TRUE,1.850741782050136e-13,-7.0781947434997194,0.43272419465545253,0.2934494367941665,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20679,184,Present,1.0760362934014722e-8,1.2964835982565148e-8,8.8219180849336e-9,TRUE,5.559868565541137e-9,-7.2105525678825995,0.6953167732389147,0.7963799042842346,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20680,184,Present,3.523948909625041e-4,0.0011554511189914018,7.666379258730593e-5,TRUE,9.141226210829245e-5,-5.4430568269953055,0.5778385251291653,0.6596598919112406,1,0.9949319386915905,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20681,184,Present,0,5.551115123125783e-16,0,TRUE,0,-3.942131583348349,0.27849812846660355,0.24251755812018663,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20682,184,Present,0,1.3322676295501878e-15,1.1102230246251565e-16,TRUE,0,-4.2125452232621035,0.25147372078828395,0.273215408182382,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20676,184,None,0.5872614282817354,0.12245728663943034,0.007595011280770669,FALSE,0.18205746575614967,-20.452742186839085,1.5130011871204503,2.336702524703712,7.507272581364077e-10,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20677,184,None,1,0.17487982551612835,0.1407823157367345,FALSE,0.10924721284246042,-7.5155361201812685,2.247255485943375,3,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20678,184,None,0.5110807954196147,0.001377164599925762,2.3763891305284002e-4,TRUE,0.07430697530252073,-13.131383020442223,1.38933827582789,1.3093176309710457,1,0.799978415706083,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20683,184,Present,1.9566763298506373e-7,2.5378447432444773e-7,7.971633964043434e-8,TRUE,6.724305414707032e-7,-9.049609371137318,0.9894823173738838,0.6497297152836002,1,0.7527003607248364,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20667,184,Present,0.033113120233764226,5.5977291206321667e-5,2.1694113069070653e-5,TRUE,1.8974080061573417e-5,-9.600481905797052,0.759643044481041,0.7936847784121833,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20684,184,Present,1.0254375126805826e-10,5.582017070793199e-9,3.7100922334332154e-10,TRUE,0,-5.625615907134399,0.7088834489219212,0.45807857170887084,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20663,184,Present,5.804985021575781e-4,6.037282683541978e-4,5.936894646829671e-5,TRUE,4.98087972580219e-5,-6.755582242096298,0.7277845227840858,0.6914280342448419,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20664,184,Present,7.771561172376096e-16,9.103828801926284e-15,1.2212453270876722e-15,TRUE,0,-4.444032604367474,0.350421874916907,0.24051033417101264,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20662,184,Present,1.6935353119862384e-10,1.1461942506230116e-11,3.775202372935382e-12,TRUE,4.107825191113079e-15,-4.984817562136829,0.37545032546938245,0.2724727473746676,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20687,184,ProbablyNone,5.483775458136053e-4,1.5741374870259506e-10,2.1856960685795457e-12,TRUE,4.336037672534321e-4,-7.643959121376814,1.0295155583688276,0.977261018310119,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20688,184,Present,0,2.133759835487581e-11,4.871658632055187e-13,TRUE,0,-6.233038985571201,0.6417049693951404,0.5423554072645312,0.9938018830468857,6.268811265237595e-4,1,1,None,None,x11,SEATS deixa sazonalidade residual (QS),ajustada
