codigo,date,value_sa
20636,2011-03-01,10254.216079014423
20636,2011-04-01,10961.634891168476
20636,2011-05-01,10873.603560390504
20636,2011-06-01,10495.624354587495
20636,2011-07-01,11122.121908023295
20636,2011-08-01,11535.29292756234
20636,2011-09-01,10839.304275412422
20636,2011-10-01,11381.696983815447
20636,2011-11-01,11139.939795418706
20636,2011-12-01,8858.62637998669
20636,2012-01-01,11693.096526974823
20636,2012-02-01,11665.512427041745
20636,2012-03-01,11600.49142981151
20636,2012-04-01,11846.215480473618
20636,2012-05-01,11795.324056874633
20636,2012-06-01,11933.66773387164
20636,2012-07-01,12607.706028555627
20636,2012-08-01,13285.811421872742
20636,2012-09-01,11927.957638405667
20636,2012-10-01,12819.609668775578
20636,2012-11-01,12875.951533832767
20636,2012-12-01,10912.613586196392
20636,2013-01-01,14525.875357514176
20636,2013-02-01,13892.426729782961
20636,2013-03-01,13945.672147626443
20636,2013-04-01,14309.423619399524
20636,2013-05-01,14784.376826498357
20636,2013-06-01,15348.12547906453
20636,2013-07-01,15648.165637020196
20636,2013-08-01,15686.986522958217
20636,2013-09-01,15791.968417729859
20636,2013-10-01,15533.179652353565
20636,2013-11-01,16594.259067012084
20636,2013-12-01,13728.930843979975
20636,2014-01-01,16058.72845750591
20636,2014-02-01,16576.771964068717
20636,2014-03-01,16251.30671264779
20636,2014-04-01,16274.776347626592
20636,2014-05-01,16563.296260626474
20636,2014-06-01,15688.305909132263
20636,2014-07-01,15461.180146968185
20636,2014-08-01,14867.683171092369
20636,2014-09-01,15492.128965811831
20636,2014-10-01,15264.157503714505
20636,2014-11-01,14572.691577336434
20636,2014-12-01,14850.890662732001
20636,2015-01-01,14979.035666714368
20636,2015-02-01,14265.425662608393
20636,2015-03-01,14975.093131748881
20636,2015-04-01,14906.805176039032
20636,2015-05-01,13945.142964117416
20636,2015-06-01,14613.635546487178
20636,2015-07-01,14072.139345174322
20636,2015-08-01,14773.481922306599
20636,2015-09-01,15041.690156645966
20636,2015-10-01,14678.040644140416
