codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,combined3_x11,combined3_seats,metodo,razao,status
20636,184,Present,0,0,0,TRUE,0,-1.3567949935428458,0.38477045616362093,0.4109637534634361,0.14519708608211968,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20637,184,Present,2.3332242105045253e-7,1.511018454802837e-8,8.555783918007265e-7,TRUE,3.9015516973939235e-5,-7.289632356250544,0.272468647291778,0.3356869375510302,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20638,184,Present,0,3.7335146085837323e-10,2.9311775229245995e-11,TRUE,7.123168721534512e-11,-5.716921240963039,1.040880428239591,0.7862286770395384,1,0.4090645309800197,1,1,None,None,seats,"Q = 1.04 > 1, decomposição X-11 fraca",ajustada
20639,184,Present,9.647218023313142e-4,8.706151355397651e-10,2.408678811960385e-10,TRUE,2.0175944689393432e-6,-6.356016888975259,1.4031817797063444,0.5937335721799889,1,1,1,1,None,None,seats,"Q = 1.4 > 1, decomposição X-11 fraca",ajustada
20640,184,Present,2.8517442740572108e-8,1.2953971229023864e-11,1.2740919430598296e-11,TRUE,1.0880185641326534e-14,-6.604672432473452,0.6366759179317432,0.42465592060953916,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20641,184,Present,0,1.2222164941344538e-5,5.284660598015023e-9,TRUE,6.10178574333986e-13,-7.43306207199202,0.7662411824010523,0.7206262806210973,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20642,184,Present,5.750955267558311e-14,1.1501910535116622e-13,5.440092820663267e-15,TRUE,0,-4.9678714244668924,0.5152950253986545,0.30576750750703813,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20643,184,Present,4.1744385725905886e-14,1.0082690238277792e-10,2.429723089392155e-12,TRUE,1.3034018309099338e-13,-5.983572553177288,0.5332852604269341,0.45283600403075785,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20644,184,Present,2.3758329747991525e-9,9.650502619251711e-11,2.7797431023657282e-11,TRUE,8.875788992668276e-11,-5.975478399847341,0.41030130410638244,0.4331925248836635,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20645,184,Present,0,2.0347945550724944e-11,3.2523206350276723e-11,TRUE,7.882583474838611e-15,-4.732407745255781,0.3429652605301412,0.26041338193081826,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
