codigo,date,value
20631,2011-03-01,215654
20631,2011-04-01,203722
20631,2011-05-01,227829
20631,2011-06-01,229876
20631,2011-07-01,222347
20631,2011-08-01,249440
20631,2011-09-01,233041
20631,2011-10-01,222498
20631,2011-11-01,241472
20631,2011-12-01,269534
20631,2012-01-01,214365
20631,2012-02-01,204149
20631,2012-03-01,241689
20631,2012-04-01,232678
20631,2012-05-01,255850
20631,2012-06-01,244247
20631,2012-07-01,242241
20631,2012-08-01,254479
20631,2012-09-01,235073
20631,2012-10-01,272112
20631,2012-11-01,255426
20631,2012-12-01,291095
20631,2013-01-01,239819
20631,2013-02-01,226940
20631,2013-03-01,253933
20631,2013-04-01,269919
20631,2013-05-01,286345
20631,2013-06-01,279021
20631,2013-07-01,266388
20631,2013-08-01,272234
20631,2013-09-01,268929
20631,2013-10-01,283598
20631,2013-11-01,273359
20631,2013-12-01,324520
20631,2014-01-01,259256
20631,2014-02-01,261176
20631,2014-03-01,270135
20631,2014-04-01,274965
20631,2014-05-01,282194
20631,2014-06-01,285973
20631,2014-07-01,274099
20631,2014-08-01,271684
20631,2014-09-01,296118
20631,2014-10-01,295952
20631,2014-11-01,275473
20631,2014-12-01,337436
20631,2015-01-01,258839
20631,2015-02-01,229956
20631,2015-03-01,291616
20631,2015-04-01,270336
20631,2015-05-01,268849
20631,2015-06-01,289575
20631,2015-07-01,271218
20631,2015-08-01,260616
20631,2015-09-01,275624
20631,2015-10-01,261855
20631,2015-11-01,267515
20631,2015-12-01,313109
20631,2016-01-01,221425
20631,2016-02-01,226411
20631,2016-03-01,260522
20631,2016-04-01,240158
20631,2016-05-01,255121
20631,2016-06-01,267857
20631,2016-07-01,234920
20631,2016-08-01,252338
20631,2016-09-01,247979
20631,2016-10-01,241387
20631,2016-11-01,256665
20631,2016-12-01,290110
20631,2017-01-01,232575
20631,2017-02-01,207853
20631,2017-03-01,275100
20631,2017-04-01,228445
20631,2017-05-01,261921
20631,2017-06-01,278989
20631,2017-07-01,241546
20631,2017-08-01,266618
20631,2017-09-01,252554
20631,2017-10-01,264644
20631,2017-11-01,271685
20631,2017-12-01,306755
20631,2018-01-01,256896
20631,2018-02-01,246238
20631,2018-03-01,283413
20631,2018-04-01,281882
20631,2018-05-01,285878
20631,2018-06-01,294885
20631,2018-07-01,281671
20631,2018-08-01,312505
20631,2018-09-01,278790
20631,2018-10-01,304757
20631,2018-11-01,311115
20631,2018-12-01,344330
20631,2019-01-01,287558
20631,2019-02-01,287683
20631,2019-03-01,301338
20631,2019-04-01,308542
20631,2019-05-01,333963
20631,2019-06-01,323147
20631,2019-07-01,333542
20631,2019-08-01,337146
20631,2019-09-01,344982
20631,2019-10-01,355781
20631,2019-11-01,352886
20631,2019-12-01,410152
20631,2020-01-01,327082
20631,2020-02-01,313026
20631,2020-03-01,400907
20631,2020-04-01,301979
20631,2020-05-01,290783
20631,2020-06-01,326593
20631,2020-07-01,350054
20631,2020-08-01,352567
20631,2020-09-01,375072
20631,2020-10-01,359146
20631,2020-11-01,385113
20631,2020-12-01,408096
20631,2021-01-01,302714
20631,2021-02-01,320287
20631,2021-03-01,414095
20631,2021-04-01,386567
20631,2021-05-01,410255
20631,2021-06-01,436014
20631,2021-07-01,428075
20631,2021-08-01,447845
20631,2021-09-01,461938
20631,2021-10-01,443848
20631,2021-11-01,476407
20631,2021-12-01,519009
20631,2022-01-01,424575
20631,2022-02-01,417717
20631,2022-03-01,532919
20631,2022-04-01,479233
20631,2022-05-01,524584
20631,2022-06-01,525086
20631,2022-07-01,509408
20631,2022-08-01,563884
20631,2022-09-01,551846
20631,2022-10-01,524754
20631,2022-11-01,513115
20631,2022-12-01,557331
20631,2023-01-01,474887
20631,2023-02-01,429117
20631,2023-03-01,536836
20631,2023-04-01,445177
20631,2023-05-01,515946
20631,2023-06-01,525737
20631,2023-07-01,499759
20631,2023-08-01,557367
20631,2023-09-01,547613
20631,2023-10-01,541900
20631,2023-11-01,552939
20631,2023-12-01,597771
20631,2024-01-01,534315
20631,2024-02-01,505789
20631,2024-03-01,569569
20631,2024-04-01,568430
20631,2024-05-01,575116
20631,2024-06-01,594147
20631,2024-07-01,620348
20631,2024-08-01,627050
20631,2024-09-01,639146
20631,2024-10-01,649340
20631,2024-11-01,620293
20631,2024-12-01,699427
20631,2025-01-01,591893
20631,2025-02-01,590966
20631,2025-03-01,620474
20631,2025-04-01,644574
20631,2025-05-01,648239
20631,2025-06-01,641196
20631,2025-07-01,649848
20631,2025-08-01,643637
20631,2025-09-01,700052
20631,2025-10-01,691661
20631,2025-11-01,652031
20631,2025-12-01,803912
20631,2026-01-01,649333
20631,2026-02-01,610149
20631,2026-03-01,742224
20631,2026-04-01,692993
20631,2026-05-01,701395
20631,2026-06-01,747095
20632,2011-03-01,125022
20632,2011-04-01,117618
20632,2011-05-01,129405
20632,2011-06-01,132130
20632,2011-07-01,126754
20632,2011-08-01,142386
20632,2011-09-01,130645
20632,2011-10-01,124212
20632,2011-11-01,137630
20632,2011-12-01,159451
20632,2012-01-01,116230
20632,2012-02-01,111611
20632,2012-03-01,139145
20632,2012-04-01,131809
20632,2012-05-01,145295
20632,2012-06-01,141554
20632,2012-07-01,138465
20632,2012-08-01,144480
20632,2012-09-01,135395
20632,2012-10-01,153143
20632,2012-11-01,142492
20632,2012-12-01,170949
20632,2013-01-01,127211
20632,2013-02-01,123998
20632,2013-03-01,141905
20632,2013-04-01,146897
20632,2013-05-01,161491
20632,2013-06-01,158983
20632,2013-07-01,139467
20632,2013-08-01,144535
20632,2013-09-01,146644
20632,2013-10-01,152882
20632,2013-11-01,147921
20632,2013-12-01,182550
20632,2014-01-01,134224
20632,2014-02-01,138178
20632,2014-03-01,148742
20632,2014-04-01,147357
20632,2014-05-01,147310
20632,2014-06-01,154263
